school,GENDER,Pstatus,Medu,Fedu,MOTHER_JOB,FATHER_JOB,GRADE
GP,F,A,4,4,at_home,teacher,6
GP,F,T,1,1,at_home,other,6
GP,F,T,1,1,at_home,other,10
GP,F,T,4,2,health,services,15
GP,F,T,3,3,other,other,10
GP,M,T,4,3,services,other,15
GP,M,T,2,2,other,other,11
GP,F,A,4,4,other,teacher,6
GP,M,A,3,2,services,other,19
GP,M,T,3,4,other,other,15
GP,F,T,4,4,teacher,health,9
GP,F,T,2,1,services,other,12
GP,M,T,4,4,health,services,14
GP,M,T,4,3,teacher,other,11
GP,M,A,2,2,other,other,16
GP,F,T,4,4,health,other,14
GP,F,T,4,4,services,services,14
GP,F,T,3,3,other,other,10
GP,M,T,3,2,services,services,5
GP,M,T,4,3,health,other,10
GP,M,T,4,3,teacher,other,15
GP,M,T,4,4,health,health,15
GP,M,T,4,2,teacher,other,16
GP,M,T,2,2,other,other,12
GP,F,T,2,4,services,health,8
GP,F,T,2,2,services,services,8
GP,M,T,2,2,other,other,11
GP,M,T,4,2,health,services,15
GP,M,A,3,4,services,other,11
GP,M,T,4,4,teacher,teacher,11
GP,M,T,4,4,health,services,12
GP,M,T,4,4,services,services,17
GP,M,T,4,3,teacher,at_home,16
GP,M,T,3,3,other,other,12
GP,M,T,3,2,other,other,15
GP,F,T,2,3,other,other,6
GP,M,T,4,3,teacher,services,18
GP,M,A,4,4,other,teacher,15
GP,F,T,3,4,services,health,11
GP,F,T,2,2,at_home,other,13
GP,F,T,2,2,other,other,11
GP,M,T,4,4,teacher,other,12
GP,M,T,4,4,services,teacher,18
GP,M,T,2,2,services,services,11
GP,F,T,2,2,other,at_home,9
GP,F,A,4,3,other,other,6
GP,F,A,3,3,other,services,11
GP,M,T,4,3,health,services,20
GP,M,T,4,2,teacher,other,14
GP,F,T,4,4,services,teacher,7
GP,F,T,2,2,services,services,13
GP,F,T,4,2,health,other,13
GP,M,A,4,2,health,health,10
GP,F,T,4,4,services,services,11
GP,F,A,3,3,other,other,13
GP,F,A,2,1,other,other,10
GP,F,A,4,3,services,services,15
GP,M,T,4,4,teacher,health,15
GP,M,T,1,2,other,at_home,9
GP,F,T,4,2,services,other,16
GP,F,T,4,4,health,teacher,11
GP,F,T,1,1,services,services,11
GP,F,T,1,2,other,services,9
GP,F,T,4,3,teacher,health,9
GP,F,T,4,3,services,services,10
GP,F,T,4,3,teacher,services,15
GP,M,A,4,4,other,services,12
GP,F,T,3,1,services,other,6
GP,F,T,2,2,health,services,8
GP,F,T,3,1,other,other,16
GP,M,T,3,1,other,other,15
GP,M,T,4,2,other,other,10
GP,F,T,1,1,other,other,5
GP,M,T,3,1,other,other,14
GP,F,T,3,3,other,services,11
GP,M,T,4,3,teacher,other,10
GP,M,T,4,0,teacher,other,10
GP,F,T,2,2,other,other,11
GP,M,T,2,1,other,other,10
GP,F,T,3,4,at_home,other,5
GP,M,T,2,3,other,services,12
GP,M,T,2,3,other,other,11
GP,F,T,3,2,services,other,6
GP,M,T,2,2,services,services,15
GP,F,T,1,1,other,other,10
GP,F,T,4,4,services,services,8
GP,F,T,2,2,at_home,other,6
GP,F,T,4,2,other,other,14
GP,M,T,2,2,services,other,10
GP,M,A,4,4,teacher,health,7
GP,F,T,3,3,other,other,8
GP,F,T,4,3,services,other,18
GP,F,T,3,1,other,other,6
GP,F,T,4,2,teacher,services,10
GP,M,T,2,2,services,health,14
GP,F,T,1,1,at_home,other,10
GP,M,T,4,3,services,other,15
GP,F,T,2,1,other,other,10
GP,F,T,4,4,other,other,14
GP,F,T,4,3,other,at_home,8
GP,M,T,4,4,services,services,5
GP,M,T,4,4,services,teacher,17
GP,M,T,4,4,services,other,14
GP,F,T,3,2,services,other,6
GP,M,A,3,4,services,other,18
GP,F,A,3,3,other,health,11
GP,F,T,2,2,other,other,8
GP,M,T,3,3,services,other,18
GP,M,T,4,4,other,other,13
GP,F,T,4,4,health,health,16
GP,M,A,4,4,teacher,teacher,19
GP,F,T,3,3,services,other,10
GP,F,T,2,2,at_home,other,13
GP,M,T,4,2,teacher,other,19
GP,M,T,2,1,health,services,9
GP,M,T,4,4,teacher,teacher,16
GP,M,T,4,4,other,teacher,14
GP,M,T,3,3,other,services,13
GP,M,T,1,3,other,other,8
GP,M,T,3,4,other,other,13
GP,F,T,1,2,at_home,services,15
GP,M,T,2,2,services,services,15
GP,F,T,2,4,other,health,13
GP,M,T,4,4,health,other,13
GP,F,T,2,2,other,other,8
GP,M,T,3,4,services,services,12
GP,F,A,3,4,other,other,11
GP,F,T,0,1,at_home,other,9
GP,M,T,2,2,services,other,0
GP,M,T,4,4,teacher,teacher,18
GP,F,T,3,4,services,teacher,0
GP,F,T,1,1,at_home,other,0
GP,F,T,2,2,other,other,12
GP,F,A,3,4,services,other,11
GP,M,T,3,4,at_home,teacher,0
GP,F,T,4,4,services,at_home,0
GP,M,T,3,4,at_home,other,0
GP,F,A,3,3,other,other,0
GP,M,T,1,1,services,other,12
GP,F,T,4,4,teacher,teacher,15
GP,M,T,4,3,teacher,services,0
GP,M,T,2,2,services,services,9
GP,F,T,4,4,teacher,services,11
GP,F,T,1,1,at_home,at_home,13
GP,M,T,2,1,other,other,0
GP,F,T,1,1,other,services,11
GP,F,T,3,2,health,services,0
GP,F,T,1,2,at_home,other,11
GP,M,T,4,4,teacher,teacher,0
GP,M,A,2,1,services,other,10
GP,M,T,1,1,other,other,0
GP,M,T,2,1,at_home,other,14
GP,F,T,3,3,services,services,10
GP,M,T,3,2,services,at_home,0
GP,F,T,4,4,other,teacher,12
GP,M,T,2,3,at_home,services,8
GP,M,T,1,2,other,other,13
GP,F,T,1,1,at_home,other,10
GP,M,T,2,2,at_home,other,15
GP,M,T,3,3,other,services,12
GP,M,T,2,1,at_home,other,0
GP,M,T,3,2,other,other,7
GP,M,T,1,2,other,other,0
GP,M,T,1,3,at_home,services,10
GP,M,T,1,1,other,services,7
GP,M,T,3,2,services,services,12
GP,M,T,2,2,other,other,10
GP,F,T,4,2,health,services,16
GP,F,T,2,2,other,other,0
GP,F,T,4,4,health,health,14
GP,M,T,3,4,other,other,0
GP,M,T,1,0,other,other,16
GP,M,T,4,4,teacher,other,10
GP,F,T,1,3,at_home,services,0
GP,F,T,3,3,other,other,9
GP,M,T,4,3,teacher,other,9
GP,F,T,2,2,services,other,11
GP,M,T,3,3,other,other,6
GP,M,T,4,2,teacher,services,9
GP,M,T,4,3,other,other,11
GP,M,T,4,3,teacher,other,8
GP,M,T,3,3,services,other,12
GP,F,T,2,4,services,services,17
GP,F,T,3,3,other,other,8
GP,F,T,3,2,other,other,12
GP,M,T,3,3,services,services,11
GP,M,T,1,2,services,services,11
GP,M,T,2,1,other,other,15
GP,F,A,3,3,health,other,9
GP,M,T,1,2,at_home,other,10
GP,F,T,2,3,services,services,13
GP,F,T,1,1,at_home,services,9
GP,M,T,1,2,at_home,services,8
GP,M,T,3,3,services,services,10
GP,M,T,2,3,other,other,14
GP,F,T,2,4,services,services,15
GP,M,T,4,4,services,teacher,16
GP,M,T,3,3,teacher,other,10
GP,F,T,4,4,services,teacher,18
GP,F,T,4,4,teacher,teacher,10
GP,F,T,4,3,health,other,16
GP,F,T,2,3,other,other,10
GP,F,T,1,1,other,other,10
GP,F,T,2,2,other,other,6
GP,F,T,2,2,services,services,11
GP,F,T,3,4,at_home,services,9
GP,F,A,3,1,services,other,7
GP,F,T,4,3,teacher,other,13
GP,F,T,1,1,at_home,other,10
GP,F,T,4,3,teacher,other,7
GP,F,T,3,3,other,other,8
GP,M,T,4,4,services,other,13
GP,F,A,2,2,other,other,14
GP,M,T,2,2,services,other,8
GP,F,T,4,4,services,other,10
GP,F,T,3,2,other,other,15
GP,F,T,4,3,other,other,4
GP,M,T,3,3,services,health,8
GP,F,T,2,3,at_home,other,8
GP,F,T,2,2,at_home,at_home,10
GP,F,T,2,1,at_home,services,6
GP,F,T,1,1,at_home,other,0
GP,F,T,2,3,services,teacher,17
GP,M,T,2,2,other,other,13
GP,F,T,4,4,teacher,services,14
GP,F,T,3,1,other,other,7
GP,F,T,3,2,other,other,15
GP,M,T,2,3,services,services,12
GP,M,T,2,1,at_home,other,9
GP,F,A,2,1,other,other,12
GP,F,T,4,3,health,other,14
GP,M,T,2,2,other,other,11
GP,M,T,4,4,teacher,teacher,9
GP,M,T,4,4,health,other,13
GP,M,T,1,1,other,other,6
GP,M,T,3,2,at_home,other,10
GP,M,T,2,2,other,other,13
GP,F,T,2,1,other,other,12
GP,F,T,2,1,at_home,services,11
GP,M,T,2,2,other,services,0
GP,M,T,4,3,health,other,12
GP,M,A,4,4,teacher,other,12
GP,M,T,4,3,teacher,other,0
GP,M,T,4,4,services,services,12
GP,F,T,2,1,other,other,0
GP,M,T,2,1,other,other,18
GP,M,T,2,3,other,other,13
GP,M,T,3,1,services,services,8
GP,M,T,3,3,other,services,5
GP,M,T,0,2,other,other,15
GP,M,T,3,2,services,other,8
GP,M,T,3,3,at_home,other,10
GP,M,T,2,1,services,services,8
GP,M,T,2,1,other,other,8
GP,M,T,2,1,other,other,12
GP,M,T,1,1,health,other,8
GP,F,T,4,2,teacher,services,13
GP,M,A,4,3,services,at_home,11
GP,M,T,2,1,other,other,14
GP,F,T,2,2,services,services,0
GP,F,T,4,3,services,other,18
GP,M,T,4,3,teacher,other,8
GP,M,T,3,2,other,other,12
GP,F,T,3,3,other,other,9
GP,F,T,2,2,at_home,services,0
GP,M,A,3,4,other,other,17
GP,M,T,3,1,services,other,10
GP,F,T,4,4,teacher,other,11
GP,M,T,4,2,health,other,10
GP,F,T,2,1,other,other,0
GP,F,T,3,3,other,services,9
GP,F,T,2,3,other,services,14
GP,F,T,1,1,other,other,11
GP,M,T,1,2,at_home,at_home,14
GP,F,T,2,4,at_home,health,10
GP,F,T,2,2,services,other,12
GP,F,A,3,2,other,services,9
GP,M,T,4,4,teacher,services,9
GP,F,T,4,4,health,health,8
GP,M,T,4,3,teacher,services,10
GP,M,A,4,1,services,other,8
GP,M,A,3,2,teacher,services,10
GP,F,T,1,1,at_home,other,12
GP,F,T,1,1,other,other,10
GP,F,T,2,2,other,other,11
GP,M,T,1,1,other,other,11
GP,F,T,2,2,at_home,at_home,19
GP,F,T,1,1,services,teacher,12
GP,M,T,2,1,services,services,14
GP,M,A,4,4,teacher,teacher,15
GP,M,T,4,2,teacher,other,11
GP,F,T,4,3,health,services,15
GP,F,T,2,1,services,at_home,13
GP,F,T,3,1,services,other,18
GP,M,T,3,2,services,other,14
GP,M,T,3,3,health,other,11
GP,F,T,4,4,health,other,0
GP,F,T,4,3,other,other,8
GP,F,T,4,3,other,other,14
GP,M,T,4,4,teacher,teacher,16
GP,F,A,4,4,health,other,11
GP,M,T,4,4,other,teacher,10
GP,F,T,4,2,other,other,14
GP,F,T,3,2,health,health,18
GP,M,T,3,3,other,other,13
GP,F,T,2,4,services,at_home,12
GP,M,A,3,2,services,other,18
GP,M,T,4,4,teacher,services,8
GP,M,T,3,3,other,services,12
GP,F,T,1,1,at_home,other,10
GP,F,T,1,2,services,services,0
GP,F,T,2,1,at_home,other,13
GP,M,T,1,2,other,services,11
GP,F,T,3,2,services,other,11
GP,F,T,1,1,at_home,health,13
GP,F,T,2,3,other,other,11
GP,F,T,2,1,services,other,0
GP,F,T,4,3,other,other,9
GP,F,T,3,4,at_home,services,10
GP,F,T,4,4,teacher,other,11
GP,F,A,4,3,services,services,13
GP,F,T,2,2,other,other,9
GP,F,T,2,2,services,services,11
GP,F,T,3,1,services,services,15
GP,F,T,0,2,at_home,at_home,15
GP,M,T,4,4,other,other,11
GP,M,T,3,3,other,services,16
GP,M,T,2,2,services,other,10
GP,F,T,4,4,teacher,services,9
GP,F,T,4,4,teacher,teacher,14
GP,M,T,2,2,other,other,8
GP,F,T,2,4,at_home,other,14
GP,F,T,3,3,services,services,0
GP,F,T,2,2,other,other,0
GP,F,T,2,2,at_home,other,0
GP,F,T,3,4,services,other,15
GP,F,A,3,1,services,at_home,13
GP,F,T,3,2,other,other,0
GP,F,T,3,3,services,services,17
GP,F,A,3,2,other,other,10
GP,F,T,2,1,services,services,11
GP,M,T,4,4,teacher,services,0
GP,M,T,3,4,services,other,15
GP,F,A,2,2,at_home,at_home,0
GP,F,T,2,3,at_home,other,10
GP,F,T,3,2,other,services,14
GP,M,T,4,3,teacher,services,16
GP,M,T,4,3,teacher,other,9
GP,F,T,4,3,health,other,15
MS,M,T,3,2,other,other,13
MS,M,T,1,1,other,services,8
MS,M,T,3,3,health,other,13
MS,M,T,1,3,at_home,services,8
MS,M,T,1,1,other,other,8
MS,M,T,4,3,services,other,11
MS,F,T,3,3,services,services,9
MS,F,T,4,4,teacher,services,13
MS,F,A,3,2,services,other,11
MS,M,T,1,1,other,services,10
MS,F,T,1,1,at_home,services,16
MS,F,A,1,4,at_home,other,13
MS,M,T,1,1,at_home,other,12
MS,F,T,3,3,services,services,10
MS,F,T,4,4,at_home,at_home,15
MS,F,T,1,2,other,services,12
MS,M,T,1,3,at_home,other,10
MS,M,T,4,4,teacher,services,13
MS,F,T,1,1,other,services,0
MS,F,T,2,3,at_home,services,10
MS,F,T,4,4,other,teacher,11
MS,F,T,3,2,services,services,9
MS,M,T,1,2,at_home,services,12
MS,F,T,2,2,other,at_home,11
MS,F,T,1,2,other,other,5
MS,F,T,4,4,other,other,19
MS,F,T,1,1,other,other,10
MS,F,T,4,2,health,other,15
MS,F,T,4,4,teacher,services,10
MS,F,T,3,3,other,other,15
MS,F,T,3,1,at_home,other,10
MS,M,T,4,4,teacher,teacher,14
MS,M,T,2,1,other,other,7
MS,M,T,2,3,other,services,10
MS,M,T,1,1,other,services,0
MS,M,T,4,2,other,other,5
MS,F,T,2,2,at_home,other,10
MS,F,T,4,4,teacher,at_home,6
MS,F,T,2,3,services,other,0
MS,F,T,3,1,teacher,services,8
MS,F,T,1,1,other,other,0
MS,M,A,2,2,services,services,9
MS,M,T,3,1,services,services,16
MS,M,T,1,1,other,other,7
MS,M,T,3,2,services,other,10
MS,M,T,1,1,other,at_home,9
